,id_movie,department,gender,job,name,id
0,862,Directing,2,Director,John Lasseter,7879
109,8844,Directing,2,Director,Joe Johnston,4945
122,15602,Directing,2,Director,Howard Deutch,26502
126,31357,Directing,2,Director,Forest Whitaker,2178
141,11862,Directing,2,Director,Charles Shyer,56106
143,949,Directing,2,Director,Michael Mann,638
214,11860,Directing,2,Director,Sydney Pollack,2226
269,45325,Directing,2,Director,Peter Hewitt,18357
271,9091,Directing,2,Director,Peter Hyams,37710
280,710,Directing,2,Director,Martin Campbell,10702
327,9087,Directing,2,Director,Rob Reiner,3026
334,12110,Directing,2,Director,Mel Brooks,14639
344,21032,Directing,2,Director,Simon Wells,21879
355,10858,Directing,2,Director,Oliver Stone,1152
371,1408,Directing,2,Director,Renny Harlin,16938
379,524,Directing,2,Director,Martin Scorsese,1032
389,4584,Directing,2,Director,Ang Lee,1614
400,5,Directing,1,Director,Allison Anders,3110
401,5,Directing,2,Director,Alexandre Rockwell,3111
402,5,Directing,2,Director,Robert Rodriguez,2294
403,5,Directing,2,Director,Quentin Tarantino,138
485,9273,Directing,2,Director,Steve Oedekerk,4489
496,11517,Directing,2,Director,Joseph Ruben,52629
540,8012,Directing,2,Director,Barry Sonnenfeld,5174
567,1710,Directing,2,Director,Jon Amiel,15148
587,9691,Directing,2,Director,Richard Donner,7187
658,12665,Directing,2,Director,Victor Salva,56349
669,451,Directing,2,Director,Mike Figgis,6111
680,16420,Directing,2,Director,Oliver Parker,56710
682,9263,Directing,1,Director,Lesli Linka Glatter,15798
690,17015,Directing,2,Director,Roger Michell,7017
712,902,Directing,2,Director,Jean-Pierre Jeunet,2419
731,902,Directing,0,Director,Marc Caro,13680
733,37557,Directing,2,Director,Zhang Yimou,607
753,9909,Directing,2,Director,John N. Smith,60295
763,63,Directing,2,Director,Terry Gilliam,280
914,78802,Directing,2,Director,Jean-Jacques Annaud,2352
948,9598,Directing,2,Director,Chris Noonan,58137
954,47018,Directing,2,Director,Christopher Hampton,12952
982,687,Directing,2,Director,Tim Robbins,504
1078,139405,Directing,2,Director,Stephen Low,77867
1086,33689,Directing,2,Director,Andy Tennant,17167
1088,9603,Directing,1,Director,Amy Heckerling,57434
1099,34615,Directing,0,Director,Darrell James Roodt,16730
1103,31174,Directing,2,Director,Richard Loncraine,33315
1109,11443,Directing,2,Director,Albert Hughes,11447
1111,11443,Directing,2,Director,Allen Hughes,11448
1116,35196,Directing,2,Director,Michael Hoffman,52405
1122,9312,Directing,2,Director,Paul W.S. Anderson,4014
1137,577,Directing,2,Director,Gus Van Sant,5216
1153,11861,Directing,1,Director,Jocelyn Moorhouse,3047
1184,807,Directing,2,Director,David Fincher,7467
1268,10530,Directing,2,Director,Mike Gabriel,65530
1269,10530,Directing,2,Director,Eric Goldberg,65531
