,id_movie,name,id
0,862,Pixar Animation Studios,3
1,8844,TriStar Pictures,559
2,8844,Teitler Film,2550
3,8844,Interscope Communications,10201
4,15602,Warner Bros.,6194
5,15602,Lancaster Gate,19464
6,31357,Twentieth Century Fox Film Corporation,306
7,11862,Sandollar Productions,5842
8,11862,Touchstone Pictures,9195
9,949,Regency Enterprises,508
10,949,Forward Pass,675
11,949,Warner Bros.,6194
12,11860,Paramount Pictures,4
13,11860,Scott Rudin Productions,258
14,11860,Mirage Enterprises,932
15,11860,Sandollar Productions,5842
16,11860,Constellation Entertainment,14941
17,11860,Worldwide,55873
18,11860,Mont Blanc Entertainment GmbH,58079
19,45325,Walt Disney Pictures,2
20,9091,Universal Pictures,33
21,9091,Imperial Entertainment,21437
22,9091,Signature Entertainment,23770
23,710,United Artists,60
24,710,Eon Productions,7576
25,9087,Columbia Pictures,5
26,9087,Castle Rock Entertainment,97
27,12110,Columbia Pictures,5
28,12110,Castle Rock Entertainment,97
29,12110,Enigma Pictures,6368
30,21032,Universal Pictures,33
31,21032,Amblin Entertainment,56
32,21032,Amblimation,4105
33,10858,Hollywood Pictures,915
34,10858,Cinergi Pictures Entertainment,1504
35,1408,Le Studio Canal+,183
36,1408,Laurence Mark Productions,415
37,1408,Metro-Goldwyn-Mayer (MGM),8411
38,1408,Carolco Pictures,14723
39,524,Universal Pictures,33
40,524,Légende Entreprises,10898
41,524,Syalis DA,11583
42,524,De Fina-Cappa,11584
43,4584,Columbia Pictures Corporation,441
44,4584,Mirage Enterprises,932
45,5,Miramax Films,14
46,5,A Band Apart,59
47,9273,O Entertainment,5682
48,9273,Warner Bros.,6194
49,9273,Morgan Creek Productions,10210
50,11517,Columbia Pictures,5
51,8012,Jersey Films,216
52,8012,Metro-Goldwyn-Mayer (MGM),8411
53,1710,Regency Enterprises,508
54,1710,New Regency Pictures,10104
55,9691,Silver Pictures,1885
56,9691,Canal+,5358
57,9691,Warner Bros.,6194
58,9691,Dino De Laurentiis Company,10308
59,9691,Donner/Shuler-Donner Productions,23397
60,9691,Evansgideon/Lazar,25061
61,12665,Caravan Pictures,175
62,12665,Hollywood Pictures,915
63,451,United Artists,60
64,451,Intial Productions,15547
65,16420,Columbia Pictures,5
66,16420,Castle Rock Entertainment,97
67,9263,New Line Cinema,12
68,17015,BBC Films,288
69,902,Procirep,311
70,902,Constellation Productions,590
71,902,France 3 Cinéma,591
72,902,Claudie Ossard Productions,592
73,902,Eurimages,850
74,902,MEDIA Programme of the European Union,851
75,902,Cofimage 5,1871
76,902,Televisión Española (TVE),6639
77,902,Tele München Fernseh Produktionsgesellschaft (TMG),7237
78,902,Club d'Investissement Média,8170
79,902,Canal+ España,9335
80,902,Elías Querejeta Producciones Cinematográficas S.L.,12009
81,902,Centre National de la Cinématographie (CNC),18367
82,902,Victoires Productions,25020
83,902,Constellation,25021
84,902,Lumière Pictures,25129
85,902,Canal+,47532
86,902,Studio Image,68517
87,902,Cofimage 4,79437
88,902,Ossane,79438
89,902,Phoenix Images,79439
90,37557,Ministère des Affaires Étrangères,2588
91,37557,Alpha Films,4507
92,37557,La Sept Cinéma,23647
93,9909,Hollywood Pictures,915
94,9909,Via Rosa Productions,10103
95,9909,Don Simpson/Jerry Bruckheimer Films,10288
96,63,Universal Pictures,33
97,63,Atlas Entertainment,507
98,63,Classico,17031
99,78802,Iwerks Entertainment,70801
100,9598,Universal Pictures,33
101,9598,Kennedy Miller Productions,2537
102,47018,StudioCanal,694
103,47018,Cinéa,874
104,47018,Euston Films,8363
105,47018,Freeway Films,19316
106,47018,European Co-production Fund,30226
107,47018,Polygram Filmed Entertainment,31080
108,47018,Orsans Productions,44821
109,687,Havoc,406
110,687,PolyGram Filmed Entertainment,1382
111,687,Working Title Films,10163
112,139405,Sony New Technologies,53390
113,33689,Dualstar Productions,6130
114,33689,Warner Bros.,6194
115,33689,Rysher Entertainment,11661
116,33689,Orr & Cruickshank,89131
117,9603,Paramount Pictures,4
118,34615,Miramax,53009
119,34615,Distant Horizon,85681
120,34615,Alpine Pty Limited,89840
121,31174,British Screen,871
122,31174,Mayfair Entertainment International,34237
123,11443,Caravan Pictures,175
124,11443,Underworld Entertainment,476
125,11443,Hollywood Pictures,915
126,35196,Miramax Films,14
127,9312,New Line Cinema,12
128,9312,Threshold Entertainment,4174
129,577,The Rank Organisation,364
130,577,Columbia Pictures Corporation,441
131,11861,Universal Pictures,33
132,11861,Amblin Entertainment,56
133,807,New Line Cinema,12
134,807,Juno Pix,4286
135,807,Cecchi Gori Pictures,65394
136,10530,Walt Disney Pictures,2
137,10530,Walt Disney Feature Animation,10217
138,8391,Alliance Communications Corporation,2480
139,629,Blue Parrot Productions,361
140,629,Bad Hat Harry Productions,9168
141,11448,Miramax Films,14
142,11448,Magnolia Pictures,1030
143,26441,Walt Disney Pictures,2
144,26441,Caravan Pictures,175
145,97406,Miramax Films,14
146,97406,CiBy 2000,7832
147,124057,Telefilm Canada,7320
148,124057,Melenny Productions,10260
149,9089,Paramount Pictures,4
150,9089,Egg Pictures,802
151,9089,PolyGram Filmed Entertainment,1382
152,11359,Paramount Pictures,4
153,11359,Columbia Pictures Corporation,441
154,11359,The Kennedy/Marshall Company,862
155,17182,Paramount Pictures,4
156,2054,Hollywood Pictures,915
157,2054,The Charlie Mopic Company,916
158,2054,PolyGram Filmed Entertainment,1382
159,2054,Interscope Communications,10201
160,10607,Miramax Films,14
161,10607,Island Pictures,3492
162,10607,Ivory Way Productions,5441
163,19760,Warner Bros.,6194
164,19760,Morgan Creek Productions,10210
165,9536,Metro-Goldwyn-Mayer (MGM),8411
166,9536,Motion Picture Corporation of America (MPCA),11061
167,9536,3 Arts Entertainment,36390
168,9536,Weasel Productions,38003
169,11525,New Line Cinema,12
170,40628,Miramax Films,14
171,4482,Renn Productions,82
172,4482,Les Films Flam,1614
173,4482,TF1 Films Production,3823
174,4482,Canal+,5358
175,10634,New Line Cinema,12
176,755,A Band Apart,59
177,755,Dimension Films,7405
178,755,Los Hooligans Productions,11705
179,755,Miramax,53009
180,11859,Silver Pictures,1885
181,11859,Warner Bros.,6194
182,28387,Castleberg Productions,5841
183,28387,Sandollar Productions,5842
184,48750,Les Films 13,1742
185,48750,Canal+,5358
186,48750,TF1,22123
187,20927,New Line Cinema,12
188,20927,Juno Pix,4286
189,36929,Warner Bros.,6194
190,36929,Morgan Creek Productions,10210
191,9102,The Movie Network (TMN),3388
192,9102,Allegro Films,4899
193,9102,Fuji Eight Company Ltd.,7958
194,9102,Fries Film Group,23096
195,9102,Super Ecran,23097
196,9102,Triumph Films,23098
197,124626,Zweites Deutsches Fernsehen (ZDF),4606
198,124626,Ciak Filmproduktion,83201
199,124626,Bluehorse Films,93174
200,27526,Miramax Films,14
201,9623,Columbia Pictures Corporation,441
202,46785,I.R.I.B. Channel 2,38953
203,46785,Ferdos Films,38954
204,400,Miramax Films,14
205,880,Bergen Film,575
206,880,Bard Entertainments,576
207,880,NPS Televisie,577
208,146599,BET Pictures,38196
209,146599,United Image Entertainme,38197
210,8447,Playhouse International Pictures,2492
211,8447,The Samuel Goldwyn Company,8888
212,10534,Hollywood Pictures,915
213,10534,Largo Entertainment,1644
214,10534,Scott Free Productions,1645
215,17414,Twentieth Century Fox Film Corporation,306
216,17414,Joe Wizan/Todd Black,3311
217,13997,Paramount Pictures,4
218,2086,Paramount Pictures,4
219,61548,Miramax Films,14
220,61548,Addis Wechsler Pictures,4665
221,9095,TriStar Pictures,559
222,9095,NFH Productions,18737
223,12158,Paramount Pictures,4
224,9283,Miramax Films,14
225,9283,Woods Entertainment,979
226,9208,Twentieth Century Fox Film Corporation,306
227,9208,WCG Entertainment Productions,456
228,9208,Mark Gordon Productions,11362
229,40154,Castle Rock Entertainment,97
230,40154,Midwinter Films,75942
231,406,Egg Pictures,802
232,406,PolyGram Filmed Entertainment,1382
233,406,Canal+,5358
234,406,Les Productions Lazennec,5869
235,406,La Sept Cinéma,16366
236,406,Kasso Inc. Productions,22684
237,406,Studio Image,68517
238,406,Cofinergie 6,68518
239,45549,Channel Four Films,181
240,63076,British Broadcasting Corporation (BBC),3324
241,63076,Westdeutscher Rundfunk (WDR),7025
242,63076,Canadian Broadcasting Corporation (CBC),12113
243,63076,Cinemax Reel Life,12911
244,63076,InPictures,12912
245,63076,Lafayette Films,12913
246,11062,Columbia Pictures,5
247,11062,Castle Rock Entertainment,97
248,13685,Gracie Films,18
249,13685,Columbia Pictures Corporation,441
250,47475,Touchstone Pictures,9195
251,2045,Metro-Goldwyn-Mayer (MGM),8411
252,2045,Dino De Laurentiis Company,10308
253,2045,Spelling Films,10355
254,9614,Universal Pictures,33
255,9614,Brillstein-Grey Entertainment,1606
256,9614,Robert Simonds Productions,3929
257,688,Amblin Entertainment,56
258,688,Malpaso Productions,171
259,688,Warner Bros.,6194
260,10874,Walt Disney Pictures,2
261,10874,Jim Henson Productions,2504
262,10874,"Jim Henson Company, The",6254
263,197,Icon Entertainment International,4564
264,197,The Ladd Company,7965
265,197,B.H. Finance C.V.,11353
266,103,Columbia Pictures Corporation,441
267,103,Italo/Judeo Productions,46059
268,103,Bill/Phillips,46060
269,33542,New Line Cinema,12
270,33542,Golden Harvest Company,2521
271,43566,Caravan Pictures,175
272,43566,Hollywood Pictures,915
273,71754,Téléfilm Canada,806
274,71754,Skyline Films,2055
275,71754,Malofilm,3498
276,71754,Société de Développement des Entreprises Culturelles (SODEC),9116
277,71754,British Screen Productions,12745
278,71754,National Film Board of Canada (NFB),17027
279,71754,imX Communications,22150
280,71754,Glace Bay Pictures,38673
281,71754,Ciné Télé Action,38674
282,71754,Nova Scotia Film Development Corporation,40534
283,71754,Ranfilm,85045
284,43612,France 2 Cinéma,83
285,43612,France 3 Cinéma,591
286,43612,StudioCanal,694
287,43612,Les Productions du Champ Poirier,883
288,43612,Téléma Productions,885
289,16934,Bavaria Film and Television Fund,3236
290,10324,TriStar Pictures,559
291,10324,Motion Picture Corporation of America (MPCA),11061
292,78406,Savoy Pictures,11308
293,55731,TriStar Pictures,559
294,11066,Paramount Pictures,4
295,11104,Jet Tone Production,540
296,11104,The Criterion Collection,10932
297,37975,Cecchi Gori Group Tiger Cinematografica,371
298,2074,Miramax Films,14
299,27793,Studio Babelsberg,264
300,27793,Dieter Geissler Filmproduktion,1766
301,27793,Cinevox Filmproduktion GmbH,1979
302,27793,Warner Bros.,6194
303,27793,Miramax,53009
304,44284,Canal Horizons,22029
305,44284,Mat Films,22618
306,44284,Cinétéléfilms,71842
307,73067,Fine Line Features,8
308,73067,Channel Four Films,181
309,73067,Bórd Scannán na hÉireann,1898
310,73067,Canal+,5358
311,11863,Paramount Pictures,4
312,55475,Cigua Films,93488
313,55475,D'Pelicula,93489
314,9101,Twentieth Century Fox Film Corporation,306
315,123360,Couch Potatoe Productions,68229
316,39428,Channel Four Films,181
317,39428,Academy,38778
318,39428,Mayfair Films,94477
319,39428,Iberoamerica Films,94478
320,9302,Cinergi Pictures Entertainment,1504
321,9302,Touchstone Pictures,9195
322,11000,United Artists,60
323,16388,Fox Searchlight Pictures,43
324,9737,Columbia Pictures,5
