,id_movie,id,name,poster_path,backdrop_path
0,862,10194,Toy Story Collection,/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg
1,8844,NaN,NaN,NaN,NaN
2,15602,119050,Grumpy Old Men Collection,/nLvUdqgPgm3F85NMCii9gVFUcet.jpg,/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg
3,31357,NaN,NaN,NaN,NaN
4,11862,96871,Father of the Bride Collection,/nts4iOmNnq7GNicycMJ9pSAn204.jpg,/7qwE57OVZmMJChBpLEbJEmzUydk.jpg
5,949,NaN,NaN,NaN,NaN
6,11860,NaN,NaN,NaN,NaN
7,45325,NaN,NaN,NaN,NaN
8,9091,NaN,NaN,NaN,NaN
9,710,645,James Bond Collection,/HORpg5CSkmeQlAolx3bKMrKgfi.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg
10,9087,NaN,NaN,NaN,NaN
11,12110,NaN,NaN,NaN,NaN
12,21032,117693,Balto Collection,/w0ZgH6Lgxt2bQYnf1ss74UvYftm.jpg,/9VM5LiJV0bGb1st1KyHA3cVnO2G.jpg
13,10858,NaN,NaN,NaN,NaN
14,1408,NaN,NaN,NaN,NaN
15,524,NaN,NaN,NaN,NaN
16,4584,NaN,NaN,NaN,NaN
17,5,NaN,NaN,NaN,NaN
18,9273,3167,Ace Ventura Collection,/qCxH543pScFed1CycwJ1nVgrkOc.jpg,/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg
19,11517,NaN,NaN,NaN,NaN
20,8012,91698,Chili Palmer Collection,/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg,/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg
21,1710,NaN,NaN,NaN,NaN
22,9691,NaN,NaN,NaN,NaN
23,12665,NaN,NaN,NaN,NaN
24,451,NaN,NaN,NaN,NaN
25,16420,NaN,NaN,NaN,NaN
26,9263,NaN,NaN,NaN,NaN
27,17015,NaN,NaN,NaN,NaN
28,902,NaN,NaN,NaN,NaN
29,37557,NaN,NaN,NaN,NaN
30,9909,NaN,NaN,NaN,NaN
31,63,NaN,NaN,NaN,NaN
32,78802,NaN,NaN,NaN,NaN
33,9598,9435,Babe Collection,/jgnah0k4AumfcZE4HHMJywYHvG6.jpg,/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg
34,47018,NaN,NaN,NaN,NaN
35,687,NaN,NaN,NaN,NaN
36,139405,NaN,NaN,NaN,NaN
37,33689,NaN,NaN,NaN,NaN
38,9603,NaN,NaN,NaN,NaN
39,34615,NaN,NaN,NaN,NaN
40,31174,NaN,NaN,NaN,NaN
41,11443,NaN,NaN,NaN,NaN
42,35196,NaN,NaN,NaN,NaN
43,9312,9818,Mortal Kombat Collection,/nauCllomdtyciLCRcVrSJKcJQbn.jpg,/qD3efz57VGNywAN4lTvgz3FHnBb.jpg
44,577,NaN,NaN,NaN,NaN
45,11861,NaN,NaN,NaN,NaN
46,807,NaN,NaN,NaN,NaN
47,10530,136214,Pocahontas Collection,/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg,/qqeOxNmtAW7WXdbrmQftgluvve7.jpg
48,8391,NaN,NaN,NaN,NaN
49,629,NaN,NaN,NaN,NaN
50,117164,NaN,NaN,NaN,NaN
51,11448,NaN,NaN,NaN,NaN
52,49133,NaN,NaN,NaN,NaN
53,26441,NaN,NaN,NaN,NaN
54,97406,NaN,NaN,NaN,NaN
55,124057,NaN,NaN,NaN,NaN
56,9089,NaN,NaN,NaN,NaN
57,11010,NaN,NaN,NaN,NaN
58,99040,NaN,NaN,NaN,NaN
59,11359,NaN,NaN,NaN,NaN
60,17182,NaN,NaN,NaN,NaN
61,2054,NaN,NaN,NaN,NaN
62,10607,NaN,NaN,NaN,NaN
63,19760,NaN,NaN,NaN,NaN
64,9536,NaN,NaN,NaN,NaN
65,11525,124935,The Lawnmower Man Collection,/slBKrKBbL1g3KURphhAYIyOOH0G.jpg,/id05z92s8Pwc2wbR9YAKngGqOyP.jpg
66,40628,NaN,NaN,NaN,NaN
67,4482,NaN,NaN,NaN,NaN
68,10634,43563,Friday Collection,/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg,/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg
69,755,10924,From Dusk Till Dawn Collection,/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg,/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg
70,11859,NaN,NaN,NaN,NaN
71,28387,NaN,NaN,NaN,NaN
72,48750,NaN,NaN,NaN,NaN
73,20927,NaN,NaN,NaN,NaN
74,36929,NaN,NaN,NaN,NaN
