,id_movie,id,name
0,862,16,Animation
1,862,35,Comedy
2,862,10751,Family
3,8844,12,Adventure
4,8844,14,Fantasy
5,8844,10751,Family
6,15602,10749,Romance
7,15602,35,Comedy
8,31357,35,Comedy
9,31357,18,Drama
10,31357,10749,Romance
11,11862,35,Comedy
12,949,28,Action
13,949,80,Crime
14,949,18,Drama
15,949,53,Thriller
16,11860,35,Comedy
17,11860,10749,Romance
18,45325,28,Action
19,45325,12,Adventure
20,45325,18,Drama
21,45325,10751,Family
22,9091,28,Action
23,9091,12,Adventure
24,9091,53,Thriller
25,710,12,Adventure
26,710,28,Action
27,710,53,Thriller
28,9087,35,Comedy
29,9087,18,Drama
30,9087,10749,Romance
31,12110,35,Comedy
32,12110,27,Horror
33,21032,10751,Family
34,21032,16,Animation
35,21032,12,Adventure
36,10858,36,History
37,10858,18,Drama
38,1408,28,Action
39,1408,12,Adventure
40,524,18,Drama
41,524,80,Crime
42,4584,18,Drama
43,4584,10749,Romance
44,5,80,Crime
45,5,35,Comedy
46,9273,80,Crime
47,9273,35,Comedy
48,9273,12,Adventure
49,11517,28,Action
50,11517,35,Comedy
51,11517,80,Crime
52,8012,35,Comedy
53,8012,53,Thriller
54,8012,80,Crime
55,1710,18,Drama
56,1710,53,Thriller
57,9691,28,Action
58,9691,12,Adventure
59,9691,80,Crime
60,9691,53,Thriller
61,12665,18,Drama
62,12665,14,Fantasy
63,12665,878,Science Fiction
64,12665,53,Thriller
65,451,18,Drama
66,451,10749,Romance
67,16420,18,Drama
68,9263,35,Comedy
69,9263,18,Drama
70,9263,10751,Family
71,17015,18,Drama
72,17015,10749,Romance
73,902,14,Fantasy
74,902,878,Science Fiction
75,902,12,Adventure
76,37557,18,Drama
77,37557,80,Crime
78,9909,18,Drama
79,9909,80,Crime
80,63,878,Science Fiction
81,63,53,Thriller
82,63,9648,Mystery
83,78802,10749,Romance
84,78802,12,Adventure
85,9598,14,Fantasy
86,9598,18,Drama
87,9598,35,Comedy
88,9598,10751,Family
89,47018,36,History
90,47018,18,Drama
91,47018,10749,Romance
92,687,18,Drama
93,139405,12,Adventure
94,139405,36,History
95,139405,18,Drama
96,139405,10751,Family
97,33689,35,Comedy
98,33689,10751,Family
99,33689,10749,Romance
100,9603,35,Comedy
101,9603,18,Drama
102,9603,10749,Romance
103,34615,18,Drama
104,31174,18,Drama
105,31174,10752,War
106,11443,28,Action
107,11443,80,Crime
108,11443,18,Drama
109,11443,36,History
110,35196,18,Drama
111,35196,10749,Romance
112,9312,28,Action
113,9312,14,Fantasy
114,577,14,Fantasy
115,577,18,Drama
116,577,35,Comedy
117,577,53,Thriller
118,11861,18,Drama
119,11861,10749,Romance
120,807,80,Crime
121,807,9648,Mystery
122,807,53,Thriller
123,10530,12,Adventure
124,10530,16,Animation
125,10530,18,Drama
126,10530,10751,Family
127,8391,18,Drama
128,8391,10749,Romance
129,629,18,Drama
130,629,80,Crime
131,629,53,Thriller
132,117164,28,Action
133,117164,53,Thriller
134,117164,18,Drama
135,11448,35,Comedy
136,11448,10749,Romance
137,49133,18,Drama
138,49133,10769,Foreign
139,26441,28,Action
140,26441,12,Adventure
141,26441,35,Comedy
142,26441,10751,Family
143,97406,18,Drama
144,9089,35,Comedy
145,9089,18,Drama
146,9089,10749,Romance
147,11010,35,Comedy
148,11010,18,Drama
149,11010,10749,Romance
150,99040,53,Thriller
151,99040,18,Drama
152,99040,9648,Mystery
153,11359,12,Adventure
154,11359,10751,Family
155,11359,14,Fantasy
156,17182,18,Drama
157,17182,53,Thriller
158,2054,10402,Music
159,2054,18,Drama
160,2054,10751,Family
161,10607,35,Comedy
162,19760,35,Comedy
163,19760,10749,Romance
164,9536,35,Comedy
165,11525,28,Action
166,11525,878,Science Fiction
167,40628,18,Drama
168,40628,10751,Family
169,4482,35,Comedy
170,4482,10749,Romance
171,10634,35,Comedy
172,755,27,Horror
173,755,28,Action
174,755,53,Thriller
175,755,80,Crime
176,11859,28,Action
177,11859,53,Thriller
178,11859,10749,Romance
179,28387,35,Comedy
180,28387,18,Drama
181,28387,10749,Romance
182,48750,18,Drama
183,48750,36,History
184,20927,18,Drama
185,20927,10749,Romance
186,36929,35,Comedy
187,36929,10751,Family
188,9102,27,Horror
189,9102,878,Science Fiction
190,124626,99,Documentary
191,27526,18,Drama
192,27526,53,Thriller
193,9623,18,Drama
194,9623,53,Thriller
195,46785,10751,Family
196,46785,18,Drama
197,400,18,Drama
198,400,80,Crime
199,880,18,Drama
200,880,35,Comedy
201,146599,10749,Romance
202,146599,18,Drama
203,8447,18,Drama
204,8447,10749,Romance
205,10534,28,Action
206,10534,18,Drama
207,17414,12,Adventure
208,17414,35,Comedy
209,17414,10751,Family
210,13997,35,Comedy
211,2086,80,Crime
212,2086,18,Drama
213,2086,53,Thriller
214,61548,18,Drama
215,9095,18,Drama
216,9095,27,Horror
217,9095,53,Thriller
218,9095,10749,Romance
219,12158,35,Comedy
220,12158,27,Horror
221,12158,10749,Romance
222,9283,35,Comedy
223,9283,18,Drama
224,9283,10749,Romance
225,9208,28,Action
226,9208,12,Adventure
227,9208,18,Drama
228,9208,53,Thriller
229,40154,35,Comedy
230,406,18,Drama
231,45549,28,Action
232,45549,12,Adventure
233,45549,18,Drama
234,45549,878,Science Fiction
235,45549,53,Thriller
236,63076,99,Documentary
237,11062,18,Drama
238,11062,53,Thriller
239,13685,35,Comedy
240,13685,80,Crime
241,13685,18,Drama
242,47475,35,Comedy
243,47475,10749,Romance
244,2045,18,Drama
245,2045,9648,Mystery
246,2045,878,Science Fiction
247,2045,53,Thriller
248,9614,35,Comedy
249,688,18,Drama
250,688,10749,Romance
251,11907,18,Drama
252,11907,35,Comedy
253,11907,10751,Family
254,10874,28,Action
255,10874,35,Comedy
256,10874,10402,Music
257,10874,10751,Family
258,10874,12,Adventure
259,89333,99,Documentary
260,96357,80,Crime
261,197,28,Action
262,197,18,Drama
263,197,36,History
264,197,10752,War
265,103,80,Crime
266,103,18,Drama
267,33542,80,Crime
268,33542,28,Action
269,33542,35,Comedy
270,33542,53,Thriller
271,43566,18,Drama
272,43566,53,Thriller
273,71754,18,Drama
274,43612,35,Comedy
275,51352,99,Documentary
276,51352,18,Drama
277,51352,10769,Foreign
278,16934,35,Comedy
279,16934,80,Crime
280,16934,18,Drama
281,10324,35,Comedy
282,10324,10749,Romance
283,78406,35,Comedy
284,78406,18,Drama
285,55731,28,Action
286,55731,12,Adventure
287,55731,35,Comedy
288,55731,18,Drama
289,55731,10751,Family
290,32119,18,Drama
291,11066,35,Comedy
292,11066,10749,Romance
293,11104,18,Drama
294,11104,35,Comedy
295,11104,10749,Romance
296,37975,18,Drama
297,37975,10749,Romance
298,2074,35,Comedy
299,2074,10749,Romance
300,27793,14,Fantasy
301,44284,18,Drama
302,110972,35,Comedy
303,110972,10749,Romance
304,32622,35,Comedy
305,32622,18,Drama
306,73067,18,Drama
307,73067,10749,Romance
308,73067,10752,War
309,11863,28,Action
310,11863,53,Thriller
311,11863,9648,Mystery
312,11863,10749,Romance
313,55475,35,Comedy
314,55475,18,Drama
315,55475,10749,Romance
316,124636,10402,Music
317,124636,99,Documentary
318,9101,35,Comedy
319,123360,99,Documentary
320,5757,35,Comedy
321,39428,18,Drama
322,9302,18,Drama
323,9302,10749,Romance
324,11000,35,Comedy
325,249882,18,Drama
326,16388,35,Comedy
327,16388,18,Drama
328,16388,10749,Romance
329,9737,28,Action
330,9737,35,Comedy
331,9737,80,Crime
332,9737,53,Thriller
333,30765,28,Action
334,30765,12,Adventure
335,30765,18,Drama
336,30765,10751,Family
337,10474,18,Drama
338,10474,80,Crime
339,22279,10749,Romance
340,22279,18,Drama
341,22279,35,Comedy
342,30157,80,Crime
343,30157,35,Comedy
344,30157,18,Drama
345,30157,53,Thriller
346,568,18,Drama
347,11780,12,Adventure
348,34996,18,Drama
349,34996,27,Horror
350,414,28,Action
351,414,80,Crime
352,414,14,Fantasy
353,649,18,Drama
354,649,10749,Romance
355,1873,18,Drama
356,1873,53,Thriller
357,5894,35,Comedy
358,1775,28,Action
359,1775,35,Comedy
360,8839,14,Fantasy
361,8839,35,Comedy
362,8839,10751,Family
363,20649,9648,Mystery
364,20649,80,Crime
365,20649,18,Drama
366,10329,28,Action
367,10329,12,Adventure
368,10329,18,Drama
369,10329,9648,Mystery
370,10329,878,Science Fiction
371,10329,53,Thriller
372,8963,28,Action
373,8963,53,Thriller
374,8963,18,Drama
375,26564,99,Documentary
376,8068,53,Thriller
377,8068,28,Action
378,8068,80,Crime
379,8512,18,Drama
380,8512,9648,Mystery
381,8512,53,Thriller
382,1572,28,Action
383,1572,53,Thriller
384,13552,28,Action
385,13552,35,Comedy
386,13552,80,Crime
387,13552,18,Drama
388,259209,18,Drama
389,259209,80,Crime
390,6520,28,Action
391,6520,12,Adventure
392,6520,18,Drama
393,6520,10749,Romance
394,9073,12,Adventure
395,10428,28,Action
396,10428,80,Crime
397,10428,53,Thriller
398,10428,18,Drama
399,17447,35,Comedy
400,17447,18,Drama
401,17447,10749,Romance
402,9886,12,Adventure
403,9886,28,Action
404,9886,18,Drama
405,9886,878,Science Fiction
406,9886,53,Thriller
407,9482,878,Science Fiction
408,19326,35,Comedy
409,19326,18,Drama
410,9344,18,Drama
411,9344,80,Crime
412,9071,18,Drama
413,9071,35,Comedy
414,8973,9648,Mystery
415,8973,27,Horror
416,8973,53,Thriller
417,15730,35,Comedy
418,15730,18,Drama
419,47608,18,Drama
420,47608,10751,Family
421,47608,10749,Romance
422,2293,10749,Romance
423,2293,35,Comedy
424,9070,28,Action
425,9070,12,Adventure
426,9070,878,Science Fiction
427,9070,10751,Family
428,9070,14,Fantasy
429,68274,35,Comedy
430,68274,18,Drama
431,68274,10749,Romance
432,48787,53,Thriller
433,48787,10769,Foreign
434,34574,27,Horror
435,34574,53,Thriller
436,1642,80,Crime
437,1642,18,Drama
438,1642,9648,Mystery
439,1642,53,Thriller
440,1642,28,Action
441,11472,35,Comedy
442,36196,35,Comedy
443,11980,14,Fantasy
444,11980,27,Horror
445,11980,53,Thriller
446,58372,14,Fantasy
447,58372,35,Comedy
448,58372,18,Drama
449,32646,18,Drama
450,10533,18,Drama
451,10533,36,History
452,10533,10749,Romance
453,56088,99,Documentary
454,10802,18,Drama
455,10149,35,Comedy
